Financial Year,Quarter Ending,HSC Trust,Hospital,Programme of Care,Specialty,Total Available Beds,Average Available Beds,Total Occupied Beds,Average Occupied Beds,Total Inpatients,Total Day Case,Elective Inpatient,Non Elective Inpatient,Day Case,Regular Attenders
2015-2016,30-Jun-15,Northern,Holywell,Mental Health,Mental Illness,"7,371",20.1,"7,668",21,165,0,0,0,0,0
2015-2016,30-Jun-15,Northern,Moyle,Acute Services,General Practice Other,"1,484",4.1,"1,348",3.7,55,0,0,55,0,0
2015-2016,30-Jun-15,Northern,Whiteabbey,Acute Services,General Surgery,0,0,0,0,0,380,0,0,380,0
2015-2016,30-Jun-15,Northern,Whiteabbey,Acute Services,Ear Nose Throat,0,0,0,0,0,69,0,0,69,0
2015-2016,30-Jun-15,Northern,Whiteabbey,Acute Services,General Medicine,4,0,4,0,1,2,0,1,2,0
2015-2016,30-Jun-15,Northern,Whiteabbey,Acute Services,Gastroenterology,0,0,0,0,0,621,0,0,621,0
2015-2016,30-Jun-15,Northern,Whiteabbey,Acute Services,Dermatology,0,0,0,0,0,82,0,0,82,0
2015-2016,30-Jun-15,Northern,Whiteabbey,Acute Services,Gynaecology,0,0,0,0,0,164,0,0,164,0
2015-2016,30-Jun-15,Northern,Whiteabbey,Elderly Care,Geriatric Medicine,"4,034",11,"3,741",10.2,182,0,0,0,0,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Acute Services,General Surgery,0,0,0,0,0,333,0,0,333,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Acute Services,Ear Nose Throat,0,0,0,0,0,72,0,0,72,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Acute Services,Ophthalmology,0,0,0,0,0,147,0,0,147,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Acute Services,Pain Management,0,0,0,0,2,63,2,0,63,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Acute Services,General Medicine,33,0.1,33,0.1,3,0,0,3,0,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Acute Services,Gastroenterology,0,0,0,0,0,340,0,0,340,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Acute Services,Rehabilitation,551,1.5,457,1.2,12,0,0,12,0,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Acute Services,Gynaecology,0,0,0,0,0,46,0,0,46,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Acute Services,General Practice Other,0,0,0,0,0,54,0,0,54,0
2015-2016,30-Jun-15,Northern,Mid Ulster,Elderly Care,Geriatric Medicine,"1,247",3.4,"1,150",3.1,43,0,0,0,0,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,General Surgery,"6,885",18.8,"5,989",16.4,"1,309",387,252,"1,057",387,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Ear Nose Throat,398,1.1,398,1.1,290,152,161,129,152,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Accident & Emergency,420,1.1,229,0.6,420,0,0,420,0,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Anaesthetics,102,0.3,8,0,1,0,0,1,0,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,General Medicine,"8,246",22.5,"7,627",20.8,"1,347",0,31,"1,316",0,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Gastroenterology,"2,834",7.7,"2,721",7.4,450,478,38,412,477,1
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Endocrinology,0,0,0,0,3,0,0,3,0,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Haematology Clinical,959,2.6,959,2.6,74,461,10,64,24,437
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Palliative Medicine,"1,096",3,"1,013",2.8,50,0,28,22,0,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Cardiology,"3,376",9.2,"3,120",8.5,567,55,16,551,54,1
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Dermatology,0,0,0,0,1,39,1,0,39,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Thoracic Medicine,"6,353",17.4,"6,028",16.5,804,46,38,766,46,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Infectious Diseases,24,0.1,0,0,0,0,0,0,0,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Nephrology,"2,611",7.1,823,2.2,93,"4,219",54,39,1,"4,218"
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Medical Oncology,0,0,0,0,0,305,0,0,10,295
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Rheumatology,78,0.2,66,0.2,17,240,8,9,240,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Paediatrics,"3,048",8.3,"2,209",6,929,0,32,897,0,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Gynaecology,898,2.5,823,2.2,300,181,162,138,180,1
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,General Practice Other,0,0,0,0,0,101,0,0,101,0
2015-2016,30-Jun-15,Northern,Antrim,Acute Services,Clinical Oncology,0,0,0,0,0,384,0,0,14,370
2015-2016,30-Jun-15,Northern,Antrim,Maternity & Child Health,Obstetrics,"3,058",8.4,"1,928",5.3,840,0,0,0,0,0
2015-2016,30-Jun-15,Northern,Antrim,Maternity & Child Health,Well Babies Obs,"2,343",6.4,870,2.4,508,0,0,0,0,0
2015-2016,30-Jun-15,Northern,Antrim,Elderly Care,Geriatric Medicine,"3,800",10.4,"3,770",10.3,571,0,0,0,0,0
2015-2016,30-Jun-15,Northern,Braid Valley,Acute Services,Dermatology,0,0,0,0,0,26,0,0,26,0
2015-2016,30-Jun-15,Southern,St Lukes,Elderly Care,Old Age Psychiatry,"2,184",6,"1,333",3.6,44,0,0,0,0,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,General Surgery,0,0,0,0,0,444,0,0,444,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,Urology,0,0,0,0,0,18,0,0,18,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,Trauma & Orthopaedics Surgery,0,0,0,0,0,44,0,0,44,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,Ear Nose Throat,0,0,0,0,0,69,0,0,69,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,Ophthalmology,0,0,0,0,0,138,0,0,138,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,Pain Management,0,0,0,0,0,147,0,0,147,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,Gastroenterology,0,0,0,0,0,348,0,0,348,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,Rheumatology,0,0,0,0,0,33,0,0,33,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,Gynaecology,0,0,0,0,0,5,0,0,5,0
2015-2016,30-Jun-15,Southern,South Tyrone,Acute Services,General Practice Other,0,0,0,0,0,144,0,0,144,0
2015-2016,30-Jun-15,Southern,South Tyrone,Elderly Care,Geriatric Medicine,"3,348",9.1,"2,887",7.9,135,0,0,0,0,0
2015-2016,30-Jun-15,Southern,Banbridge,Acute Services,Rheumatology,0,0,0,0,0,174,0,0,174,0
2015-2016,30-Jun-15,Southern,Lurgan,Elderly Care,Geriatric Medicine,"4,641",12.7,"4,265",11.7,207,0,0,0,0,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,General Surgery,"6,619",18.1,"5,983",16.3,"1,390",646,252,"1,138",646,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Urology,"1,891",5.2,"1,705",4.7,469,852,255,214,794,58
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Trauma & Orthopaedics Surgery,"4,491",12.3,"3,119",8.5,562,150,203,359,150,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Ear Nose Throat,"1,091",3,811,2.2,411,282,223,188,282,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Oral Surgery,0,0,0,0,0,19,0,0,19,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Accident & Emergency,470,1.3,327,0.9,314,0,0,314,0,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Anaesthetics,743,2,622,1.7,39,0,1,38,0,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,General Medicine,"11,088",30.3,"10,129",27.7,"2,086",81,21,"2,065",81,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Gastroenterology,8,0,8,0,11,368,9,2,368,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Haematology Clinical,632,1.7,586,1.6,62,521,10,52,216,305
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Cardiology,"2,735",7.5,"2,691",7.4,488,405,20,468,405,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Dermatology,0,0,0,0,0,267,0,0,267,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Thoracic Medicine,24,0.1,24,0.1,5,103,2,3,103,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Medical Oncology,0,0,0,0,0,102,0,0,22,80
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Neurology,0,0,0,0,0,125,0,0,125,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Rheumatology,5,0,5,0,0,484,0,0,484,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Paediatrics,"2,662",7.3,"1,843",5,860,0,5,855,0,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Gynaecology,729,2,609,1.7,368,230,163,205,230,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Acute Services,Clinical Oncology,0,0,0,0,0,614,0,0,154,460
2015-2016,30-Jun-15,Southern,Craigavon Area,Maternity & Child Health,Obstetrics,"4,140",11.3,"2,742",7.5,"1,198",0,0,0,0,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Maternity & Child Health,Well Babies Paed,"2,894",7.9,"1,517",4.1,938,0,0,0,0,0
2015-2016,30-Jun-15,Southern,Craigavon Area,Elderly Care,Geriatric Medicine,"3,351",9.2,"3,110",8.5,393,0,0,0,0,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,General Surgery,"3,565",9.7,"2,935",8,888,819,221,667,819,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Ear Nose Throat,0,0,0,0,1,185,1,0,185,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Oral Surgery,1,0,1,0,1,9,1,0,9,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,General Medicine,"6,751",18.4,"6,184",16.9,"1,262",204,18,"1,244",204,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Gastroenterology,3,0,3,0,3,314,3,0,314,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Haematology Clinical,0,0,0,0,0,44,0,0,44,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Cardiology,578,1.6,508,1.4,108,5,2,106,5,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Dermatology,0,0,0,0,0,42,0,0,42,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Thoracic Medicine,10,0,10,0,4,39,0,4,39,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Nephrology,493,1.3,493,1.3,67,"3,224",6,61,99,"3,125"
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Paediatrics,"1,585",4.3,"1,202",3.3,407,5,10,397,5,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,Gynaecology,451,1.2,300,0.8,171,122,101,70,122,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Acute Services,General Practice Other,0,0,0,0,0,230,0,0,230,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Maternity & Child Health,Obstetrics,"1,952",5.3,"1,164",3.2,539,0,0,0,0,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Maternity & Child Health,Well Babies Paed,"1,859",5.1,738,2,425,0,0,0,0,0
2015-2016,30-Jun-15,Southern,Daisy Hill,Elderly Care,Geriatric Medicine,"2,021",5.5,"1,878",5.1,106,0,0,0,0,0
2015-2016,30-Jun-15,Southern,Bluestone,Elderly Care,Old Age Psychiatry,"1,274",3.5,"1,209",3.3,27,0,0,0,0,0
2015-2016,30-Jun-15,Southern,Bluestone,Mental Health,Mental Illness,"6,370",17.4,"5,115",14,246,0,0,0,0,0
2015-2016,30-Jun-15,Southern,Bluestone,Learning Disability,Learning Disability,910,2.5,552,1.5,9,0,0,0,0,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,General Surgery,"5,441",14.9,"4,836",13.2,"1,100",471,269,831,471,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Urology,"1,301",3.6,"1,176",3.2,437,318,309,128,318,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Trauma & Orthopaedics Surgery,"5,077",13.9,"4,158",11.4,778,151,352,426,151,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Ear Nose Throat,809,2.2,724,2,407,143,273,134,143,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Ophthalmology,109,0.3,75,0.2,27,774,11,16,774,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Oral Surgery,285,0.8,178,0.5,96,521,64,32,521,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Anaesthetics,"1,021",2.8,700,1.9,46,0,3,43,0,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Pain Management,0,0,0,0,0,91,0,0,91,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,General Medicine,"11,504",31.4,"9,616",26.3,"1,805","1,953",114,"1,691","1,942",11
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Haematology Clinical,671,1.8,609,1.7,92,632,16,76,337,295
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Cardiology,"2,442",6.7,"1,848",5,638,185,97,541,185,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Dermatology,306,0.8,172,0.5,40,1,26,14,1,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Nephrology,185,0.5,168,0.5,42,"2,266",10,32,1,"2,265"
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Neurology,0,0,0,0,0,73,0,0,73,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Paediatrics,"4,400",12,"2,383",6.5,"1,055",65,88,967,65,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Gynaecology,995,2.7,650,1.8,375,137,274,101,137,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,General Practice Other,0,0,0,0,0,161,0,0,161,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Clinical Oncology,0,0,0,0,0,571,0,0,50,521
2015-2016,30-Jun-15,Western,Altnagelvin Area,Acute Services,Radiology,0,0,0,0,0,26,0,0,26,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Maternity & Child Health,Obstetrics,"3,465",9.5,"1,752",4.8,804,0,0,0,0,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Maternity & Child Health,Well Babies Paed,"1,038",2.8,"1,038",2.8,647,0,0,0,0,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Elderly Care,Geriatric Medicine,"4,506",12.3,"4,428",12.1,284,0,0,0,0,0
2015-2016,30-Jun-15,Western,Altnagelvin Area,Mental Health,Mental Illness,0,0,0,0,0,19,0,0,0,0
2015-2016,30-Jun-15,Western,Waterside,Elderly Care,Geriatric Medicine,"4,231",11.6,"3,942",10.8,106,0,0,0,0,0
2015-2016,30-Jun-15,Western,Waterside,Elderly Care,Old Age Psychiatry,"1,638",4.5,"1,630",4.5,22,0,0,0,0,0
2015-2016,30-Jun-15,Western,Gransha,Elderly Care,Old Age Psychiatry,"1,638",4.5,0,0,0,0,0,0,0,0
2015-2016,30-Jun-15,Western,Gransha,Mental Health,Mental Illness,"4,004",10.9,"3,136",8.6,191,0,0,0,0,0
2015-2016,30-Jun-15,Western,Lakeview,Learning Disability,Learning Disability,"1,729",4.7,"1,101",3,10,0,0,0,0,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,General Surgery,0,0,0,0,0,627,0,0,627,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Urology,0,0,0,0,0,197,0,0,197,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Ear Nose Throat,0,0,0,0,0,48,0,0,48,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Ophthalmology,0,0,0,0,0,154,0,0,154,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Pain Management,0,0,0,0,0,64,0,0,64,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,General Medicine,0,0,0,0,0,151,0,0,151,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Haematology Clinical,0,0,0,0,0,7,0,0,7,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Rehabilitation,"2,184",6,"1,853",5.1,85,0,0,85,0,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Palliative Medicine,580,1.6,542,1.5,28,0,7,21,0,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Cardiology,365,1,76,0.2,824,23,7,817,23,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Nephrology,0,0,0,0,0,"2,010",0,0,0,"2,010"
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Gynaecology,0,0,0,0,0,102,0,0,102,0
2015-2016,30-Jun-15,Western,Tyrone County,Acute Services,Clinical Oncology,0,0,0,0,0,31,0,0,31,0
2015-2016,30-Jun-15,Western,Tyrone County,Mental Health,Mental Illness,0,0,0,0,0,27,0,0,0,0
2015-2016,30-Jun-15,Western,South West Acute,Acute Services,General Surgery,"3,588",9.8,"2,998",8.2,722,393,139,583,393,0
2015-2016,30-Jun-15,Western,South West Acute,Acute Services,Ophthalmology,0,0,0,0,0,8,0,0,8,0
2015-2016,30-Jun-15,Western,South West Acute,Acute Services,Anaesthetics,548,1.5,310,0.8,28,0,2,26,0,0
2015-2016,30-Jun-15,Western,South West Acute,Acute Services,General Medicine,"6,793",18.6,"6,650",18.2,"1,085",246,42,"1,043",246,0
2015-2016,30-Jun-15,Western,South West Acute,Acute Services,Rehabilitation,95,0.3,95,0.3,4,0,0,4,0,0
2015-2016,30-Jun-15,Western,South West Acute,Acute Services,Cardiology,771,2.1,619,1.7,207,14,5,202,14,0
2015-2016,30-Jun-15,Western,South West Acute,Acute Services,Paediatrics,"1,729",4.7,915,2.5,389,2,13,376,2,0
2015-2016,30-Jun-15,Western,South West Acute,Acute Services,Gynaecology,525,1.4,261,0.7,159,163,88,71,163,0
2015-2016,30-Jun-15,Western,South West Acute,Acute Services,General Practice Other,0,0,0,0,0,78,0,0,78,0
2015-2016,30-Jun-15,Western,South West Acute,Maternity & Child Health,Obstetrics,"1,462",4,868,2.4,380,0,0,0,0,0
2015-2016,30-Jun-15,Western,South West Acute,Maternity & Child Health,Well Babies Paed,493,1.3,493,1.3,283,0,0,0,0,0
2015-2016,30-Jun-15,Western,South West Acute,Elderly Care,Geriatric Medicine,"3,812",10.4,"3,521",9.6,241,0,0,0,0,0
2015-2016,30-Jun-15,Western,Tyrone and Fermanagh,Elderly Care,Old Age Psychiatry,"1,820",5,"1,605",4.4,23,0,0,0,0,0
2015-2016,30-Jun-15,Western,Tyrone and Fermanagh,Mental Health,Mental Illness,"4,823",13.2,"3,841",10.5,115,0,0,0,0,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,General Surgery,"4,137",11.3,"3,154",8.6,467,682,382,85,682,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Urology,"3,698",10.1,"2,815",7.7,694,"1,986",460,234,"1,986",0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Trauma & Orthopaedics Surgery,0,0,0,0,1,0,0,1,0,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Plastic Surgery,15,0,15,0,9,6,9,0,6,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Anaesthetics,10,0,10,0,0,42,0,0,42,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Pain Management,0,0,0,0,1,343,1,0,343,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,General Medicine,"2,854",7.8,"1,254",3.4,103,58,7,96,58,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Gastroenterology,"1,220",3.3,"1,220",3.3,153,905,40,113,905,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Endocrinology,30,0.1,30,0.1,3,0,0,3,0,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Haematology Clinical,"2,900",7.9,"2,859",7.8,191,"1,794",62,129,"1,794",0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Cardiology,"2,786",7.6,"1,690",4.6,577,295,156,421,295,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Dermatology,535,1.5,273,0.7,32,0,25,7,0,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Thoracic Medicine,"4,656",12.7,"3,538",9.7,431,92,99,332,92,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Nephrology,"5,123",14,"2,258",6.2,292,"6,523",223,69,120,"6,403"
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Medical Oncology,168,0.5,168,0.5,44,0,2,42,0,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Gynaecology,"1,919",5.2,"1,419",3.9,431,514,322,109,514,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Clinical Oncology,286,0.8,286,0.8,57,0,16,41,0,0
2015-2016,30-Sep-15,Belfast,Belfast City,Acute Services,Radiology,0,0,0,0,2,12,2,0,12,0
2015-2016,30-Sep-15,Belfast,Belfast City,Elderly Care,Geriatric Medicine,"8,491",23.2,"6,427",17.6,668,0,0,0,0,0
2015-2016,30-Sep-15,Belfast,Musgrave Park,Acute Services,Trauma & Orthopaedics Surgery,"9,102",24.9,"4,896",13.4,"1,032",717,991,41,717,0
2015-2016,30-Sep-15,Belfast,Musgrave Park,Acute Services,Rehabilitation,"4,416",12.1,"3,521",9.6,100,186,48,52,186,0
2015-2016,30-Sep-15,Belfast,Musgrave Park,Acute Services,Neurology,"2,116",5.8,"1,978",5.4,111,4,105,6,4,0
2015-2016,30-Sep-15,Belfast,Musgrave Park,Acute Services,Rheumatology,"2,416",6.6,760,2.1,106,26,93,13,26,0
2015-2016,30-Sep-15,Belfast,Musgrave Park,Acute Services,Paediatric Neurology,0,0,0,0,0,1,0,0,1,0
2015-2016,30-Sep-15,Belfast,Musgrave Park,Elderly Care,Geriatric Medicine,"6,186",16.9,"5,310",14.5,161,0,0,0,0,0
2015-2016,30-Sep-15,Belfast,NI Cancer Centre,Acute Services,Haematology Clinical,"1,267",3.5,"1,267",3.5,135,43,14,121,43,0
2015-2016,30-Sep-15,Belfast,NI Cancer Centre,Acute Services,Dermatology,9,0,9,0,0,0,0,0,0,0
2015-2016,30-Sep-15,Belfast,NI Cancer Centre,Acute Services,Medical Oncology,"1,617",4.4,"1,290",3.5,189,"1,641",49,140,313,"1,328"
2015-2016,30-Sep-15,Belfast,NI Cancer Centre,Acute Services,Clinical Oncology,"3,320",9.1,"3,320",9.1,406,"1,267",208,198,195,"1,072"
2015-2016,30-Sep-15,Belfast,NI Cancer Centre,Acute Services,Radiology,8,0,8,0,3,0,3,0,0,0
2015-2016,30-Sep-15,Belfast,Knockbracken,Elderly Care,Old Age Psychiatry,"1,840",5,810,2.2,11,0,0,0,0,0
2015-2016,30-Sep-15,Belfast,Knockbracken,Mental Health,Mental Illness,"7,820",21.4,"6,692",18.3,50,0,0,0,0,0
2015-2016,30-Sep-15,Belfast,Knockbracken,Mental Health,Forensic Psychiatry,"3,128",8.5,"3,128",8.5,6,0,0,0,0,0
2015-2016,30-Sep-15,Belfast,Beechcroft,Mental Health,Child & Adolescent Psychiatry,"2,852",7.8,"2,345",6.4,47,0,0,0,0,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,General Surgery,"11,048",30.2,"9,836",26.9,"1,597",336,258,"1,339",336,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Trauma & Orthopaedics Surgery,"8,459",23.1,"7,938",21.7,905,119,128,777,119,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Ear Nose Throat,"2,370",6.5,"1,538",4.2,485,491,331,154,491,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Ophthalmology,"1,325",3.6,694,1.9,250,"1,421",164,86,"1,421",0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Oral Surgery,348,1,13,0,13,20,13,0,20,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Restorative Dentistry,0,0,0,0,0,10,0,0,10,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Neurosurgery,"3,068",8.4,"2,781",7.6,342,54,206,136,54,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Plastic Surgery,456,1.2,305,0.8,41,90,27,14,90,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Cardiac Surgery,"3,658",10,"3,364",9.2,287,0,205,82,0,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Thoracic Surgery,"1,358",3.7,"1,220",3.3,243,62,178,65,62,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Accident & Emergency,"1,030",2.8,770,2.1,876,6,1,875,6,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Anaesthetics,"2,446",6.7,"2,183",6,74,0,5,69,0,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,General Medicine,"7,810",21.3,"5,789",15.8,"1,372",473,45,"1,327",473,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Gastroenterology,"3,603",9.8,"3,349",9.2,595,"1,726",91,504,"1,726",0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Endocrinology,"1,335",3.6,"1,232",3.4,216,52,30,186,52,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Cardiology,"4,718",12.9,"4,155",11.4,"1,255",315,480,775,315,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Dermatology,0,0,0,0,0,51,0,0,51,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Thoracic Medicine,"4,913",13.4,"3,780",10.3,571,12,10,561,12,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Infectious Diseases,517,1.4,415,1.1,45,0,3,42,0,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Genito-Urinary Medicine,174,0.5,174,0.5,9,0,0,9,0,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Neurology,"1,963",5.4,"1,951",5.3,190,271,124,66,271,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Gynaecology,0,0,0,0,2,0,0,2,0,0
2015-2016,30-Sep-15,Belfast,Royal Victoria,Acute Services,Radiology,0,0,0,0,0,43,0,0,43,0
2015-2016,30-Sep-15,Belfast,Royal Maternity,Acute Services,Paediatrics,"2,484",6.8,"2,676",7.3,139,0,0,139,0,0
